Order ID,Sale ID,Date,Order,Transaction type,Sale type,Sales channel,POS location,Billing country,Billing region,Billing city,Shipping country,Shipping region,Shipping city,Product type,Product vendor,Product,Variant,Variant SKU,Net quantity,Gross sales,Discounts,Returns,Net sales,Shipping,Taxes,Total sales
4.30129E+12,1.37651E+13,2022-01-24T17:47:55-05:00,#1962,product,order,Online Store,,Canada,Ontario,Fonthill,Canada,Ontario,Fonthill,,DOGORA,Clinic Order Medical Snuggie,M1,,1,15.99,0,0,15.99,0,2.08,18.07
4.30129E+12,1.37651E+13,2022-01-24T17:47:55-05:00,#1962,product,order,Online Store,,Canada,Ontario,Fonthill,Canada,Ontario,Fonthill,,DOGORA,Clinic Order Medical Snuggie,L,,1,20.65,0,0,20.65,0,2.68,23.33
4.30129E+12,1.37651E+13,2022-01-24T17:47:55-05:00,#1962,product,order,Online Store,,Canada,Ontario,Fonthill,Canada,Ontario,Fonthill,,DOGORA,Clinic Order Medical Snuggie,XL,,1,22.6,0,0,22.6,0,2.94,25.54
4.30129E+12,1.37651E+13,2022-01-24T17:47:55-05:00,#1962,product,order,Online Store,,Canada,Ontario,Fonthill,Canada,Ontario,Fonthill,,DOGORA,Clinic Order Medical Snuggie,XS,,1,11.99,0,0,11.99,0,1.56,13.55
4.30285E+12,1.37702E+13,2022-01-25T19:35:46-05:00,#1963,product,order,Online Store,,Canada,Ontario,Burlington,Canada,Ontario,Burlington,Clothing,DOGORA,3 Season Heated Coat,M1,,1,196.99,0,0,196.99,0,25.61,222.6
4.30378E+12,1.37733E+13,2022-01-26T12:55:45-05:00,#1964,product,order,Online Store,,Canada,Ontario,Kitchener,Canada,Ontario,Kitchener,,DOGORA,Clinic Order Medical Snuggie,XS,,3,35.97,0,0,35.97,0,4.68,40.65
4.30378E+12,1.37733E+13,2022-01-26T12:55:45-05:00,#1964,product,order,Online Store,,Canada,Ontario,Kitchener,Canada,Ontario,Kitchener,,DOGORA,Clinic Order Medical Snuggie,M1,,3,47.97,0,0,47.97,0,6.24,54.21
4.30378E+12,1.37733E+13,2022-01-26T12:55:45-05:00,#1964,product,order,Online Store,,Canada,Ontario,Kitchener,Canada,Ontario,Kitchener,,DOGORA,Clinic Order Medical Snuggie,S,,1,13.65,0,0,13.65,0,1.77,15.42
4.30378E+12,1.37733E+13,2022-01-26T12:55:45-05:00,#1964,product,order,Online Store,,Canada,Ontario,Kitchener,Canada,Ontario,Kitchener,,DOGORA,Clinic Order Medical Snuggie,M2,,3,55.77,0,0,55.77,0,7.25,63.02
4.30378E+12,1.37733E+13,2022-01-26T12:55:45-05:00,#1964,product,order,Online Store,,Canada,Ontario,Kitchener,Canada,Ontario,Kitchener,,DOGORA,Clinic Order Medical Snuggie,XL,,3,67.8,0,0,67.8,0,8.81,76.61
4.30378E+12,1.37733E+13,2022-01-26T12:55:45-05:00,#1964,product,order,Online Store,,Canada,Ontario,Kitchener,Canada,Ontario,Kitchener,,DOGORA,Clinic Order Medical Snuggie,L,,3,61.95,0,0,61.95,0,8.05,70
4.30443E+12,1.37755E+13,2022-01-26T22:09:11-05:00,#1965,product,order,Online Store,,United States,District Of Columbia,Washington,United States,District Of Columbia,Washington,Clothing,DOGORA,3 Season Heated Coat,XL,,1,225.49,0,0,225.49,0,0,225.49
4.30443E+12,1.37755E+13,2022-01-26T22:09:11-05:00,#1965,shipping,order,Online Store,,United States,District Of Columbia,Washington,United States,District Of Columbia,Washington,,,,,,0,0,0,0,0,19.99,0,19.99
4.30443E+12,1.37755E+13,2022-01-26T22:09:11-05:00,#1965,product,order,Online Store,,United States,District Of Columbia,Washington,United States,District Of Columbia,Washington,Clothing,DOGORA,3 Season Heated Coat,S,,1,182.99,0,0,182.99,0,0,182.99
4.30524E+12,1.37781E+13,2022-01-27T12:40:50-05:00,#1966,product,order,Online Store,,Canada,Prince Edward Island,Charlottetown,Canada,Prince Edward Island,Charlottetown,Clothing,DOGORA,3 Season Heated Coat,M1,,1,196.99,0,0,196.99,0,29.55,226.54
4.30548E+12,1.37789E+13,2022-01-27T15:34:53-05:00,#1967,product,order,Online Store,,Canada,Ontario,Richmond,Canada,Ontario,Nepean,,DOGORA,Medical Snuggie,L,,4,164.96,0,0,164.96,0,21.44,186.4
4.30548E+12,1.37789E+13,2022-01-27T15:34:53-05:00,#1967,product,order,Online Store,,Canada,Ontario,Richmond,Canada,Ontario,Nepean,,DOGORA,Medical Snuggie,M1,,2,63.98,0,0,63.98,0,8.32,72.3
4.30548E+12,1.37789E+13,2022-01-27T15:34:53-05:00,#1967,product,order,Online Store,,Canada,Ontario,Richmond,Canada,Ontario,Nepean,,DOGORA,Medical Snuggie,M2,,4,148.76,0,0,148.76,0,19.34,168.1
4.30555E+12,1.37792E+13,2022-01-27T16:28:53-05:00,#1968,product,order,Online Store,,Canada,Quebec,Boucherville,Canada,Quebec,Boucherville,Clothing,DOGORA,3 Season Heated Coat,M1,,1,196.99,0,0,196.99,0,9.85,206.84
4.30659E+12,1.37825E+13,2022-01-28T11:29:30-05:00,#1969,product,order,Online Store,,Canada,Ontario,Ottawa,Canada,Ontario,Ottawa,,DOGORA,Clinic Order Medical Snuggie,M1,,4,63.96,0,0,63.96,0,8.31,72.27
